Assembly Name	Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date
ASM1691765v1	GCF_016917655.1	Salmonella enterica		Colony14				From INSDC submitter	4550964	Chromosome	2021-02-22
ASM1691767v1	GCF_016917675.1	Salmonella enterica		Colony589				From INSDC submitter	4552575	Chromosome	2021-02-22
ASM1691769v1	GCF_016917695.1	Salmonella enterica		Colony627				From INSDC submitter	4551211	Chromosome	2021-02-22
ASM1691771v1	GCF_016917715.1	Salmonella enterica		Colony626				From INSDC submitter	4552524	Chromosome	2021-02-22
ASM1691773v1	GCF_016917735.1	Salmonella enterica		Colony596				From INSDC submitter	4574276	Chromosome	2021-02-22
ASM1716213v1	GCF_017162135.1	Salmonella enterica		20REF-1022				From INSDC submitter	4786678	Contig	2021-03-03
ASM1716214v1	GCF_017162145.1	Salmonella enterica		20REF-627				From INSDC submitter	4778515	Contig	2021-03-03
ASM1716215v1	GCF_017162155.1	Salmonella enterica		20REF-20				From INSDC submitter	4781073	Contig	2021-03-03
ASM1716217v1	GCF_017162175.1	Salmonella enterica		20REF-991				From INSDC submitter	4779174	Contig	2021-03-03
ASM1716221v1	GCF_017162215.1	Salmonella enterica		20REF-1018				From INSDC submitter	4780243	Contig	2021-03-03
ASM1716223v1	GCF_017162235.1	Salmonella enterica		20REF-1017				From INSDC submitter	4774988	Contig	2021-03-03
ASM1716225v1	GCF_017162255.1	Salmonella enterica		N19-2676				From INSDC submitter	4779956	Contig	2021-03-03
ASM1716226v1	GCF_017162265.1	Salmonella enterica		20-REF-1023				From INSDC submitter	4780375	Contig	2021-03-03
ASM1716228v1	GCF_017162285.1	Salmonella enterica		N20-2737				From INSDC submitter	4787949	Contig	2021-03-03
ASM1716230v1	GCF_017162305.1	Salmonella enterica		N19-2675				From INSDC submitter	4781953	Contig	2021-03-03
ASM1716233v1	GCF_017162335.1	Salmonella enterica		N19-2672				From INSDC submitter	4781041	Contig	2021-03-03
ASM1716235v1	GCF_017162355.1	Salmonella enterica		N19-2674				From INSDC submitter	4780191	Contig	2021-03-03
ASM1716237v1	GCF_017162375.1	Salmonella enterica		N19-2673				From INSDC submitter	4780566	Contig	2021-03-03
ASM1716239v1	GCF_017162395.1	Salmonella enterica		N19-2605				From INSDC submitter	4782067	Contig	2021-03-03
ASM1731628v1	GCF_017316285.1	Salmonella enterica		2018103				From INSDC submitter	4565442	Contig	2021-03-10
ASM1774273v1	GCF_017742735.1	Salmonella enterica		105703				From INSDC submitter	4734933	Contig	2021-04-03
ASM1794224v1	GCF_017942245.1	Salmonella enterica		2018_SM1002				From INSDC submitter	4908731	Contig	2021-04-13
ASM1813987v1	GCF_018139875.1	Salmonella enterica		31				From INSDC submitter	4817138	Scaffold	2021-04-25
ASM1813992v1	GCF_018139925.1	Salmonella enterica		3				From INSDC submitter	4862699	Scaffold	2021-04-25
ASM1814000v1	GCF_018140005.1	Salmonella enterica		62				From INSDC submitter	4922966	Contig	2021-04-25
ASM1814003v1	GCF_018140035.1	Salmonella enterica		4				From INSDC submitter	5039655	Scaffold	2021-04-25
ASM1846004v1	GCF_018460045.1	Salmonella enterica		no75				From INSDC submitter	5282580	Complete Genome	2021-05-24
ASM1926494v1	GCF_019264945.1	Salmonella enterica		Colony628				From INSDC submitter	4575198	Chromosome	2021-07-18
ASM1933942v1	GCF_019339425.1	Salmonella enterica		LHICA_E3				From INSDC submitter	5081513	Complete Genome	2021-07-26
ASM1942846v1	GCF_019428465.1	Salmonella enterica		SLR1_8245				From INSDC submitter	4829815	Complete Genome	2021-07-31
ASM1945881v1	GCF_019458815.1	Salmonella enterica		SC-Z1910-0003				From INSDC submitter	4926500	Scaffold	2021-08-08
ASM1945884v1	GCF_019458845.1	Salmonella enterica		SC-Z1910-0001				From INSDC submitter	4976207	Scaffold	2021-08-08
ASM1945886v1	GCF_019458865.1	Salmonella enterica		SC-Z1910-0006				From INSDC submitter	4974538	Scaffold	2021-08-08
ASM1945888v1	GCF_019458885.1	Salmonella enterica		SC-Z1910-0002				From INSDC submitter	4925159	Scaffold	2021-08-08
ASM1945890v1	GCF_019458905.1	Salmonella enterica		SC-Z1910-0007				From INSDC submitter	4927020	Scaffold	2021-08-08
ASM1945892v1	GCF_019458925.1	Salmonella enterica		SC-Z1910-0005				From INSDC submitter	4732260	Scaffold	2021-08-08
ASM1945893v1	GCF_019458935.1	Salmonella enterica		SC-Z1910-0009				From INSDC submitter	4789125	Scaffold	2021-08-08
ASM1945896v1	GCF_019458965.1	Salmonella enterica		SC-Z1910-0010				From INSDC submitter	4929535	Scaffold	2021-08-08
ASM1945897v1	GCF_019458975.1	Salmonella enterica		SC-Z1910-0004				From INSDC submitter	4926039	Scaffold	2021-08-08
ASM1945898v1	GCF_019458985.1	Salmonella enterica		SC-Z1910-0008				From INSDC submitter	4726278	Scaffold	2021-08-08
ASM1946948v1	GCF_019469485.1	Salmonella enterica		SCSW714				From INSDC submitter	4928262	Complete Genome	2021-08-09
ASM1971037v1	GCF_019710375.1	Salmonella enterica		sg1722-1				From INSDC submitter	4976071	Complete Genome	2021-08-21
ASM1971039v1	GCF_019710395.1	Salmonella enterica		sg1722-2				From INSDC submitter	5019039	Complete Genome	2021-08-21
ASM1971039v3	GCF_019710395.2	Salmonella enterica		sg1722-2				From INSDC submitter	5019039	Complete Genome	2021-12-13
ASM1996919v1	GCF_019969195.1	Salmonella enterica		S146				From INSDC submitter	4867588	Complete Genome	2021-09-14
ASM1996923v1	GCF_019969235.1	Salmonella enterica		SP				From INSDC submitter	5091026	Complete Genome	2021-09-14
ASM1996925v1	GCF_019969255.1	Salmonella enterica		S90				From INSDC submitter	4928267	Complete Genome	2021-09-14
ASM1998500v1	GCF_019985005.1	Salmonella enterica		SG13				From INSDC submitter	4836174	Scaffold	2021-09-14
ASM1998502v1	GCF_019985025.1	Salmonella enterica		SG8				From INSDC submitter	4831958	Scaffold	2021-09-14
ASM1998503v1	GCF_019985035.1	Salmonella enterica		SG12				From INSDC submitter	5233942	Scaffold	2021-09-14
ASM1998508v1	GCF_019985085.1	Salmonella enterica		SG7				From INSDC submitter	4836294	Scaffold	2021-09-14
ASM1998511v1	GCF_019985115.1	Salmonella enterica		SG5				From INSDC submitter	4835888	Scaffold	2021-09-14
ASM1998512v1	GCF_019985125.1	Salmonella enterica		SG6				From INSDC submitter	4825616	Scaffold	2021-09-14
ASM1998515v1	GCF_019985155.1	Salmonella enterica		SG4				From INSDC submitter	4826973	Scaffold	2021-09-14
ASM1998517v1	GCF_019985175.1	Salmonella enterica		SG3				From INSDC submitter	4826954	Scaffold	2021-09-14
ASM2000244v1	GCF_020002445.1	Salmonella enterica		S1A18				From INSDC submitter	4788006	Contig	2021-09-15
ASM2000246v1	GCF_020002465.1	Salmonella enterica		SX170				From INSDC submitter	5179283	Contig	2021-09-15
ASM2000247v1	GCF_020002475.1	Salmonella enterica		S1B1				From INSDC submitter	4994497	Contig	2021-09-15
ASM2000252v1	GCF_020002525.1	Salmonella enterica		S1B7				From INSDC submitter	5000307	Contig	2021-09-15
ASM2000254v1	GCF_020002545.1	Salmonella enterica		S1B16				From INSDC submitter	4986710	Contig	2021-09-15
ASM2000256v1	GCF_020002565.1	Salmonella enterica		S1B18				From INSDC submitter	4986408	Contig	2021-09-15
ASM2000258v1	GCF_020002585.1	Salmonella enterica		S1B211				From INSDC submitter	4986919	Contig	2021-09-15
ASM2000261v1	GCF_020002615.1	Salmonella enterica		S1B24				From INSDC submitter	4990444	Contig	2021-09-15
ASM2000263v1	GCF_020002635.1	Salmonella enterica		S251				From INSDC submitter	4999439	Contig	2021-09-15
ASM2000265v1	GCF_020002655.1	Salmonella enterica		S290				From INSDC submitter	4983341	Contig	2021-09-15
ASM2000267v1	GCF_020002675.1	Salmonella enterica		S265				From INSDC submitter	4968435	Contig	2021-09-15
ASM2000269v1	GCF_020002695.1	Salmonella enterica		S291				From INSDC submitter	4987587	Contig	2021-09-15
ASM2000271v1	GCF_020002715.1	Salmonella enterica		S34				From INSDC submitter	4798885	Contig	2021-09-15
ASM2000273v1	GCF_020002735.1	Salmonella enterica		S350				From INSDC submitter	4733890	Contig	2021-09-15
ASM2000275v1	GCF_020002755.1	Salmonella enterica		SX167				From INSDC submitter	5034003	Contig	2021-09-15
ASM2000277v1	GCF_020002775.1	Salmonella enterica		SX115				From INSDC submitter	5031660	Contig	2021-09-15
ASM2000278v1	GCF_020002785.1	Salmonella enterica		SX132				From INSDC submitter	5034634	Contig	2021-09-15
ASM2000279v1	GCF_020002795.1	Salmonella enterica		SX135				From INSDC submitter	5136906	Contig	2021-09-15
ASM2000283v1	GCF_020002835.1	Salmonella enterica		SX191				From INSDC submitter	4794258	Contig	2021-09-15
ASM2000285v1	GCF_020002855.1	Salmonella enterica		SX149				From INSDC submitter	5159906	Contig	2021-09-15
ASM2000287v1	GCF_020002875.1	Salmonella enterica		SX259				From INSDC submitter	4736982	Contig	2021-09-15
ASM2000290v1	GCF_020002905.1	Salmonella enterica		SX196				From INSDC submitter	5037822	Contig	2021-09-15
ASM2000292v1	GCF_020002925.1	Salmonella enterica		SX158				From INSDC submitter	5158897	Contig	2021-09-15
ASM2000294v1	GCF_020002945.1	Salmonella enterica		S19Sen				From INSDC submitter	5170279	Contig	2021-09-15
ASM2000296v1	GCF_020002965.1	Salmonella enterica		SX171				From INSDC submitter	5162757	Contig	2021-09-15
ASM2000298v1	GCF_020002985.1	Salmonella enterica		SX113				From INSDC submitter	5167003	Contig	2021-09-15
ASM2000300v1	GCF_020003005.1	Salmonella enterica		SX188				From INSDC submitter	5136772	Contig	2021-09-15
ASM2000302v1	GCF_020003025.1	Salmonella enterica		SG6				From INSDC submitter	4761532	Scaffold	2021-09-15
ASM2000303v1	GCF_020003035.1	Salmonella enterica		SG4				From INSDC submitter	4850271	Scaffold	2021-09-15
ASM2000306v1	GCF_020003065.1	Salmonella enterica		SG5				From INSDC submitter	4850166	Scaffold	2021-09-15
ASM2000307v1	GCF_020003075.1	Salmonella enterica		SG3				From INSDC submitter	4838566	Scaffold	2021-09-15
ASM2000308v1	GCF_020003085.1	Salmonella enterica		SG7				From INSDC submitter	4838612	Scaffold	2021-09-15
ASM2000318v1	GCF_020003185.1	Salmonella enterica		S31				From INSDC submitter	5059900	Scaffold	2021-09-15
ASM2000319v1	GCF_020003195.1	Salmonella enterica		S30				From INSDC submitter	4584478	Scaffold	2021-09-15
ASM2000320v1	GCF_020003205.1	Salmonella enterica		S28				From INSDC submitter	4828850	Scaffold	2021-09-15
ASM2000321v1	GCF_020003215.1	Salmonella enterica		S29				From INSDC submitter	4963326	Scaffold	2021-09-15
ASM2000326v1	GCF_020003265.1	Salmonella enterica		S33				From INSDC submitter	4676490	Scaffold	2021-09-15
ASM2000328v1	GCF_020003285.1	Salmonella enterica		S27				From INSDC submitter	5040727	Scaffold	2021-09-15
ASM2000329v1	GCF_020003295.1	Salmonella enterica		S24				From INSDC submitter	4828112	Scaffold	2021-09-15
ASM2000332v1	GCF_020003325.1	Salmonella enterica		S25				From INSDC submitter	5071520	Scaffold	2021-09-15
ASM2000334v1	GCF_020003345.1	Salmonella enterica		S26				From INSDC submitter	4724851	Scaffold	2021-09-15
ASM2000336v1	GCF_020003365.1	Salmonella enterica		S23				From INSDC submitter	4965193	Scaffold	2021-09-15
ASM2000338v1	GCF_020003385.1	Salmonella enterica		S21				From INSDC submitter	5071253	Scaffold	2021-09-15
ASM2000339v1	GCF_020003395.1	Salmonella enterica		S22				From INSDC submitter	4801783	Scaffold	2021-09-15
ASM2000340v1	GCF_020003405.1	Salmonella enterica		S20				From INSDC submitter	5071210	Scaffold	2021-09-15
ASM2000341v1	GCF_020003415.1	Salmonella enterica		S19				From INSDC submitter	4724750	Scaffold	2021-09-15
ASM2000346v1	GCF_020003465.1	Salmonella enterica		S18				From INSDC submitter	5069838	Scaffold	2021-09-15
ASM2000348v1	GCF_020003485.1	Salmonella enterica		S15				From INSDC submitter	5071152	Scaffold	2021-09-15
ASM2000349v1	GCF_020003495.1	Salmonella enterica		S17				From INSDC submitter	4824487	Scaffold	2021-09-15
ASM2000350v1	GCF_020003505.1	Salmonella enterica		S14				From INSDC submitter	5071467	Scaffold	2021-09-15
ASM2000352v1	GCF_020003525.1	Salmonella enterica		S13				From INSDC submitter	5070536	Scaffold	2021-09-15
ASM2000356v1	GCF_020003565.1	Salmonella enterica		S16				From INSDC submitter	5711791	Scaffold	2021-09-15
ASM2000358v1	GCF_020003585.1	Salmonella enterica		S12				From INSDC submitter	4608369	Scaffold	2021-09-15
ASM2000359v1	GCF_020003595.1	Salmonella enterica		S11				From INSDC submitter	5071509	Scaffold	2021-09-15
ASM2000362v1	GCF_020003625.1	Salmonella enterica		S6				From INSDC submitter	4828992	Scaffold	2021-09-15
ASM2000363v1	GCF_020003635.1	Salmonella enterica		S7				From INSDC submitter	4672856	Scaffold	2021-09-15
ASM2000366v1	GCF_020003665.1	Salmonella enterica		S9				From INSDC submitter	4829181	Scaffold	2021-09-15
ASM2000368v1	GCF_020003685.1	Salmonella enterica		S5				From INSDC submitter	4673205	Scaffold	2021-09-15
ASM2000370v1	GCF_020003705.1	Salmonella enterica		S3				From INSDC submitter	5069655	Scaffold	2021-09-15
ASM2000372v1	GCF_020003725.1	Salmonella enterica		S1				From INSDC submitter	4732837	Scaffold	2021-09-15
ASM2000373v1	GCF_020003735.1	Salmonella enterica		S2				From INSDC submitter	5071394	Scaffold	2021-09-15
ASM2000374v1	GCF_020003745.1	Salmonella enterica		S4				From INSDC submitter	5071081	Scaffold	2021-09-15
ASM2001205v1	GCF_020012055.1	Salmonella enterica		S32				From INSDC submitter	5061770	Scaffold	2021-09-16
ASM2009274v1	GCF_020092745.1	Salmonella enterica		FUA10060				From INSDC submitter	4592820	Contig	2021-09-22
ASM2009275v1	GCF_020092755.1	Salmonella enterica		FUA1998				From INSDC submitter	4635556	Contig	2021-09-22
ASM2009278v1	GCF_020092785.1	Salmonella enterica		FUA10098				From INSDC submitter	4699022	Contig	2021-09-22
ASM2009280v1	GCF_020092805.1	Salmonella enterica		FUA10108				From INSDC submitter	4631440	Contig	2021-09-22
ASM2009281v1	GCF_020092815.1	Salmonella enterica		FUA10109				From INSDC submitter	4720632	Contig	2021-09-22
ASM2009284v1	GCF_020092845.1	Salmonella enterica		FUA1976				From INSDC submitter	4635427	Contig	2021-09-22
ASM2009286v1	GCF_020092865.1	Salmonella enterica		FUA1903				From INSDC submitter	4684479	Contig	2021-09-22
ASM2009288v1	GCF_020092885.1	Salmonella enterica		FUA1894				From INSDC submitter	4698909	Contig	2021-09-22
ASM2017625v1	GCF_020176255.1	Salmonella enterica		F2-32				From INSDC submitter	5241379	Contig	2021-09-29
ASM2017627v1	GCF_020176275.1	Salmonella enterica		F2-24				From INSDC submitter	5239642	Contig	2021-09-29
ASM2017628v1	GCF_020176285.1	Salmonella enterica		WW14				From INSDC submitter	4729549	Contig	2021-09-29
ASM2017630v1	GCF_020176305.1	Salmonella enterica		F2-15				From INSDC submitter	5241313	Contig	2021-09-29
ASM2017633v1	GCF_020176335.1	Salmonella enterica		WW60				From INSDC submitter	4730251	Contig	2021-09-29
ASM2017635v1	GCF_020176355.1	Salmonella enterica		WW4				From INSDC submitter	4728896	Contig	2021-09-29
ASM2017637v1	GCF_020176375.1	Salmonella enterica		LHE 6				From INSDC submitter	5235241	Contig	2021-09-29
ASM2017639v1	GCF_020176395.1	Salmonella enterica		LHE 10				From INSDC submitter	5242506	Contig	2021-09-29
ASM2017640v1	GCF_020176405.1	Salmonella enterica		L5-36				From INSDC submitter	5327092	Contig	2021-09-29
ASM2017643v1	GCF_020176435.1	Salmonella enterica		L5-39				From INSDC submitter	5327765	Contig	2021-09-29
ASM2017645v1	GCF_020176455.1	Salmonella enterica		L5-3				From INSDC submitter	5328595	Contig	2021-09-29
ASM2017647v1	GCF_020176475.1	Salmonella enterica		CR25				From INSDC submitter	5241454	Contig	2021-09-29
ASM2017649v1	GCF_020176495.1	Salmonella enterica		F5-29				From INSDC submitter	5329118	Contig	2021-09-29
ASM2017650v1	GCF_020176505.1	Salmonella enterica		F5-9				From INSDC submitter	5327651	Contig	2021-09-29
ASM2017652v1	GCF_020176525.1	Salmonella enterica		CR51				From INSDC submitter	5241824	Contig	2021-09-29
ASM2017655v1	GCF_020176555.1	Salmonella enterica		CR14				From INSDC submitter	4768207	Contig	2021-09-29
ASM2017657v1	GCF_020176575.1	Salmonella enterica		L3-27				From INSDC submitter	5240595	Contig	2021-09-29
ASM2017658v1	GCF_020176585.1	Salmonella enterica		L3-31				From INSDC submitter	5241830	Contig	2021-09-29
ASM2017661v1	GCF_020176615.1	Salmonella enterica		LB23				From INSDC submitter	5230588	Contig	2021-09-29
ASM2018173v1	GCF_020181735.1	Salmonella enterica		LSP 40/19				From INSDC submitter	5388503	Scaffold	2021-09-30
ASM2018175v1	GCF_020181755.1	Salmonella enterica		LSP 38/19				From INSDC submitter	5415950	Scaffold	2021-09-30
ASM2021547v1	GCF_020215475.1	Salmonella enterica		LSP 298/15				From INSDC submitter	5020760	Scaffold	2021-10-01
ASM2021550v1	GCF_020215505.1	Salmonella enterica		LSP 295/15				From INSDC submitter	4931502	Scaffold	2021-10-01
ASM2021554v1	GCF_020215545.1	Salmonella enterica		LSP 237/15				From INSDC submitter	5082055	Scaffold	2021-10-01
ASM2029572v1	GCF_020295725.1	Salmonella enterica		287				From INSDC submitter	4906163	Contig	2021-10-05
ASM2029575v1	GCF_020295755.1	Salmonella enterica		LB18				From INSDC submitter	5221189	Contig	2021-10-05
ASM2029576v1	GCF_020295765.1	Salmonella enterica		122				From INSDC submitter	4907300	Contig	2021-10-05
ASM2029582v1	GCF_020295825.1	Salmonella enterica		137				From INSDC submitter	4906049	Contig	2021-10-05
ASM2029584v1	GCF_020295845.1	Salmonella enterica		105				From INSDC submitter	4897468	Contig	2021-10-05
ASM2029590v1	GCF_020295905.1	Salmonella enterica		108				From INSDC submitter	4905439	Contig	2021-10-05
ASM2029592v1	GCF_020295925.1	Salmonella enterica		160				From INSDC submitter	4907180	Contig	2021-10-05
ASM2029594v1	GCF_020295945.1	Salmonella enterica		74				From INSDC submitter	4905739	Contig	2021-10-05
ASM2029596v1	GCF_020295965.1	Salmonella enterica		260				From INSDC submitter	4897290	Contig	2021-10-05
ASM2029598v1	GCF_020295985.1	Salmonella enterica		152				From INSDC submitter	4905996	Contig	2021-10-05
ASM2029600v1	GCF_020296005.1	Salmonella enterica		149				From INSDC submitter	4906102	Contig	2021-10-05
ASM2029601v1	GCF_020296015.1	Salmonella enterica		205				From INSDC submitter	4907351	Contig	2021-10-05
ASM2029604v1	GCF_020296045.1	Salmonella enterica		161				From INSDC submitter	4905845	Contig	2021-10-05
ASM2029610v1	GCF_020296105.1	Salmonella enterica		F2-16				From INSDC submitter	5221422	Contig	2021-10-05
ASM2029616v1	GCF_020296165.1	Salmonella enterica		257				From INSDC submitter	4907332	Contig	2021-10-05
ASM2029620v1	GCF_020296205.1	Salmonella enterica		216				From INSDC submitter	4907681	Contig	2021-10-05
ASM2029624v1	GCF_020296245.1	Salmonella enterica		139				From INSDC submitter	4906814	Contig	2021-10-05
ASM2029628v1	GCF_020296285.1	Salmonella enterica		336				From INSDC submitter	4906032	Contig	2021-10-05
ASM2029629v1	GCF_020296295.1	Salmonella enterica		LB30				From INSDC submitter	5220512	Contig	2021-10-05
ASM2029632v1	GCF_020296325.1	Salmonella enterica		F5-10				From INSDC submitter	5305189	Contig	2021-10-05
ASM2029634v1	GCF_020296345.1	Salmonella enterica		F5-8				From INSDC submitter	5306092	Contig	2021-10-05
ASM2029636v1	GCF_020296365.1	Salmonella enterica		146				From INSDC submitter	4906315	Contig	2021-10-05
ASM2029637v1	GCF_020296375.1	Salmonella enterica		66				From INSDC submitter	4906108	Contig	2021-10-05
ASM2029640v1	GCF_020296405.1	Salmonella enterica		F2-25				From INSDC submitter	5221953	Contig	2021-10-05
ASM2029642v1	GCF_020296425.1	Salmonella enterica		F2-33				From INSDC submitter	5225515	Contig	2021-10-05
ASM2029644v1	GCF_020296445.1	Salmonella enterica		CR26				From INSDC submitter	5219580	Contig	2021-10-05
ASM2029645v1	GCF_020296455.1	Salmonella enterica		185				From INSDC submitter	4905493	Contig	2021-10-05
ASM2029648v1	GCF_020296485.1	Salmonella enterica		250				From INSDC submitter	4906652	Contig	2021-10-05
ASM2029650v1	GCF_020296505.1	Salmonella enterica		LB47				From INSDC submitter	5221221	Contig	2021-10-05
ASM2029652v1	GCF_020296525.1	Salmonella enterica		LB19				From INSDC submitter	5221906	Contig	2021-10-05
ASM2029653v1	GCF_020296535.1	Salmonella enterica		LB17				From INSDC submitter	5222009	Contig	2021-10-05
ASM2029656v1	GCF_020296565.1	Salmonella enterica		LB20				From INSDC submitter	5221724	Contig	2021-10-05
ASM2029658v1	GCF_020296585.1	Salmonella enterica		LB1				From INSDC submitter	5220798	Contig	2021-10-05
ASM2029660v1	GCF_020296605.1	Salmonella enterica		LB16				From INSDC submitter	5218365	Contig	2021-10-05
ASM2029663v1	GCF_020296635.1	Salmonella enterica		F2-21				From INSDC submitter	5219610	Contig	2021-10-05
ASM2029666v1	GCF_020296665.1	Salmonella enterica		F2-2				From INSDC submitter	5221419	Contig	2021-10-05
ASM2029668v1	GCF_020296685.1	Salmonella enterica		LB31				From INSDC submitter	5219539	Contig	2021-10-05
ASM2029670v1	GCF_020296705.1	Salmonella enterica		F2-27				From INSDC submitter	5221918	Contig	2021-10-05
ASM2029671v1	GCF_020296715.1	Salmonella enterica		LB32				From INSDC submitter	5221042	Contig	2021-10-05
ASM2029674v1	GCF_020296745.1	Salmonella enterica		LS4				From INSDC submitter	5221635	Contig	2021-10-05
ASM2029676v1	GCF_020296765.1	Salmonella enterica		F2-13				From INSDC submitter	5220133	Contig	2021-10-05
ASM2029678v1	GCF_020296785.1	Salmonella enterica		F2-6				From INSDC submitter	5221690	Contig	2021-10-05
ASM2029680v1	GCF_020296805.1	Salmonella enterica		F2-9				From INSDC submitter	5221925	Contig	2021-10-05
ASM2029682v1	GCF_020296825.1	Salmonella enterica		F2-11				From INSDC submitter	5221789	Contig	2021-10-05
ASM2029683v1	GCF_020296835.1	Salmonella enterica		F5-22				From INSDC submitter	5305210	Contig	2021-10-05
ASM2029686v1	GCF_020296865.1	Salmonella enterica		L5-11				From INSDC submitter	5304399	Contig	2021-10-05
ASM2029688v1	GCF_020296885.1	Salmonella enterica		LB29				From INSDC submitter	5219586	Contig	2021-10-05
ASM2029690v1	GCF_020296905.1	Salmonella enterica		270				From INSDC submitter	4907006	Contig	2021-10-05
ASM2029691v1	GCF_020296915.1	Salmonella enterica		L3-26				From INSDC submitter	5221112	Contig	2021-10-05
ASM2029694v1	GCF_020296945.1	Salmonella enterica		F2-29				From INSDC submitter	5217324	Contig	2021-10-05
ASM2029696v1	GCF_020296965.1	Salmonella enterica		L3-29				From INSDC submitter	5221209	Contig	2021-10-05
ASM2029698v1	GCF_020296985.1	Salmonella enterica		L3-6				From INSDC submitter	5221640	Contig	2021-10-05
ASM2029700v1	GCF_020297005.1	Salmonella enterica		L3-11				From INSDC submitter	5221630	Contig	2021-10-05
ASM2029702v1	GCF_020297025.1	Salmonella enterica		335				From INSDC submitter	4907292	Contig	2021-10-05
ASM2040414v1	GCF_020404145.1	Salmonella enterica		TKBSJL1				From INSDC submitter	4860251	Contig	2021-10-09
ASM2040415v1	GCF_020404155.1	Salmonella enterica		TKBSJL3				From INSDC submitter	4865984	Contig	2021-10-09
ASM2040417v1	GCF_020404175.1	Salmonella enterica		TKBSJL5				From INSDC submitter	4940306	Contig	2021-10-09
ASM2040420v1	GCF_020404205.1	Salmonella enterica		TKBSJL4				From INSDC submitter	4808270	Contig	2021-10-09
ASM2040465v1	GCF_020404655.1	Salmonella enterica		TKBSJL7				From INSDC submitter	4809678	Contig	2021-10-09
ASM2040468v1	GCF_020404685.1	Salmonella enterica		TKBSJL2				From INSDC submitter	4861056	Contig	2021-10-09
ASM2044389v1	GCF_020443895.1	Salmonella enterica		10				From INSDC submitter	4731804	Contig	2021-10-13
ASM2051547v1	GCF_020515475.1	Salmonella enterica		TKBSJL6				From INSDC submitter	4944562	Contig	2021-10-17
ASM2073630v1	GCF_020736305.1	Salmonella enterica		SZL 31				From INSDC submitter	5023097	Complete Genome	2021-11-03
ASM2073632v1	GCF_020736325.1	Salmonella enterica		SZL 30				From INSDC submitter	5016201	Complete Genome	2021-11-03
ASM2073634v1	GCF_020736345.1	Salmonella enterica		SZL 38				From INSDC submitter	5131948	Complete Genome	2021-11-03
ASM2127632v1	GCF_021276325.1	Salmonella enterica		Crie-F503				From INSDC submitter	4975403	Contig	2021-12-23
ASM2127635v1	GCF_021276355.1	Salmonella enterica		Crie-F512				From INSDC submitter	4969122	Scaffold	2021-12-23
ASM2127638v1	GCF_021276385.1	Salmonella enterica		Crie-F522				From INSDC submitter	4926160	Scaffold	2021-12-23
ASM2127640v1	GCF_021276405.1	Salmonella enterica		Crie-F510				From INSDC submitter	4976990	Scaffold	2021-12-23
ASM2127644v1	GCF_021276445.1	Salmonella enterica		Crie-F509				From INSDC submitter	4966734	Scaffold	2021-12-23
ASM2127646v1	GCF_021276465.1	Salmonella enterica		Crie-F508				From INSDC submitter	4965655	Scaffold	2021-12-23
ASM2127648v1	GCF_021276485.1	Salmonella enterica		Crie-F506				From INSDC submitter	4927351	Scaffold	2021-12-23
ASM2127650v1	GCF_021276505.1	Salmonella enterica		Crie-F489				From INSDC submitter	4996965	Scaffold	2021-12-23
ASM2127652v1	GCF_021276525.1	Salmonella enterica		Crie-F470				From INSDC submitter	4963805	Scaffold	2021-12-23
ASM2127654v1	GCF_021276545.1	Salmonella enterica		Crie-F469				From INSDC submitter	4928219	Scaffold	2021-12-23
ASM2127656v1	GCF_021276565.1	Salmonella enterica		Crie-F468				From INSDC submitter	5004054	Scaffold	2021-12-23
ASM2127658v1	GCF_021276585.1	Salmonella enterica		Crie-F448				From INSDC submitter	4948534	Scaffold	2021-12-23
ASM2127660v1	GCF_021276605.1	Salmonella enterica		Crie-F446				From INSDC submitter	4964995	Scaffold	2021-12-23
ASM2127662v1	GCF_021276625.1	Salmonella enterica		Crie-F445				From INSDC submitter	4964747	Scaffold	2021-12-23
ASM2127664v1	GCF_021276645.1	Salmonella enterica		Crie-F444				From INSDC submitter	4964560	Scaffold	2021-12-23
ASM2127666v1	GCF_021276665.1	Salmonella enterica		Crie-F443				From INSDC submitter	4964335	Scaffold	2021-12-23
ASM2127668v1	GCF_021276685.1	Salmonella enterica		Crie-F418				From INSDC submitter	4969383	Scaffold	2021-12-23
ASM2127670v1	GCF_021276705.1	Salmonella enterica		Crie-F441				From INSDC submitter	4965985	Scaffold	2021-12-23
ASM2127672v1	GCF_021276725.1	Salmonella enterica		Crie-F411				From INSDC submitter	4933336	Scaffold	2021-12-23
ASM2127673v1	GCF_021276735.1	Salmonella enterica		Crie-F410				From INSDC submitter	4973116	Scaffold	2021-12-23
ASM2127676v1	GCF_021276765.1	Salmonella enterica		Crie-F417				From INSDC submitter	4969472	Scaffold	2021-12-23
ASM2127678v1	GCF_021276785.1	Salmonella enterica		Crie-F396				From INSDC submitter	4962747	Scaffold	2021-12-23
ASM2127680v1	GCF_021276805.1	Salmonella enterica		Crie-F403				From INSDC submitter	4979506	Scaffold	2021-12-23
ASM2127682v1	GCF_021276825.1	Salmonella enterica		Crie-F392				From INSDC submitter	4995240	Scaffold	2021-12-23
